#      L (RS)      LAT (degrees)        m=0             m=1             m=2             m=3             m=4             m=5       
     6.15857013     68.61539633      0.05374611      0.30362515      0.52115834      0.73515856      0.94797202      1.16003133
     6.07574407     68.48720487      0.05589583      0.31523798      0.54143164      0.76446724      0.98629949      1.20727235
     5.99547613     68.30546556      0.05822572      0.32768938      0.56379006      0.79649699      1.02703924      1.25762526
     5.91749559     68.17721149      0.06089889      0.34145799      0.58789740      0.83064560      1.07149755      1.31358864
     5.84160748     68.04890977      0.06372314      0.35637773      0.61469776      0.86883668      1.12151104      1.37292859
     5.76808824     67.94218747      0.06665602      0.37288453      0.64310952      0.91011427      1.17477123      1.43878483
     5.69626492     67.81391743      0.06990622      0.39064806      0.67449392      0.95417057      1.23184459      1.50966203
     5.62636739     67.68560340      0.07317431      0.41064711      0.70670776      1.00023755      1.29142435      1.58249901
     5.55842864     67.55724663      0.07627011      0.42748959      0.73979694      1.04714389      1.35257800      1.65705523
     5.49220448     67.42884841      0.07888155      0.44641712      0.77281285      1.09355041      1.41343875      1.73170418
     5.42746313     67.32260919      0.08292285      0.46518982      0.80598438      1.14315558      1.47447392      1.80687399
     5.36443371     67.19425414      0.08583538      0.48412299      0.84077909      1.19056978      1.53861095      1.88562766
     5.30300075     67.06586129      0.08978006      0.50641177      0.87982326      1.24553160      1.60960515      1.97295472
     5.24284312     66.93743192      0.09398411      0.53637028      0.92319507      1.30734427      1.69039005      2.07208499
     5.18410474     66.80896730      0.09864906      0.55815725      0.96983258      1.37504157      1.77788066      2.17949873
     5.12664032     66.68046871      0.10327728      0.58628231      1.01917329      1.44594953      1.87027578      2.29187682
     5.07035048     66.55193742      0.10773718      0.61542698      1.07095207      1.51912574      1.96526716      2.40831444
     5.01541235     66.44638415      0.11269317      0.64539479      1.12437694      1.59446102      2.06233994      2.52917952
     4.96178083     66.31791228      0.11933831      0.67739560      1.18048975      1.67583957      2.16710793      2.65764971
     4.90908107     66.18941138      0.12320987      0.71329184      1.24384911      1.76556537      2.28232320      2.80112317
     4.85756379     66.06088275      0.12967127      0.75261912      1.31381519      1.86498739      2.41396761      2.96041813
     4.80708238     65.93232766      0.13825364      0.79665768      1.39082700      1.97531602      2.55658828      3.13679948
     4.75760717     65.80374741      0.14378938      0.84304554      1.47333396      2.09298929      2.70857221      3.32293709
     4.70908335     65.67514328      0.15076913      0.89266104      1.55961991      2.21762880      2.87040741      3.52206800
     4.66148163     65.54651657      0.15868909      0.94380383      1.65267929      2.34777599      3.04966736      3.72999419
     4.61487779     65.44179656      0.16698019      1.00008765      1.74965872      2.48823437      3.22130772      3.95095096
     4.56905121     65.31324777      0.17529445      1.06275662      1.85475394      2.63829237      3.41546208      4.19048451
     4.52417274     65.18468007      0.18467632      1.12193082      1.96837793      2.80003899      3.62605356      4.45039982
     4.48009408     65.05609474      0.19422692      1.19277089      2.09515961      2.97517421      3.85269672      4.72750705
     4.43691300     64.92749307      0.20503345      1.26670574      2.22242968      3.16336069      4.09721664      5.02891044
     4.39432748     64.85096063      0.21522923      1.34737957      2.36510987      3.36600339      4.36110375      5.35309910
     4.35277256     64.72227776      0.22646630      1.43257092      2.51492488      3.58059877      4.63969833      5.69495324
     4.31176101     64.59358191      0.23849139      1.52197370      2.67409793      3.80889579      4.93635515      6.05960140
     4.27145011     64.46487436      0.25164862      1.61826014      2.84574681      4.05302295      5.25188500      6.44756504
     4.23193608     64.33615642      0.26456811      1.72154507      3.02805609      4.31415362      5.59251651      6.86719702
     4.19298772     64.20742938      0.27775693      1.83196152      3.22587609      4.59702228      5.95963812      7.31807105
     4.15484934     64.07869454      0.29158207      1.95305738      3.44013322      4.90382365      6.36243474      7.80835586
     4.11716662     63.94995320      0.31876768      2.08672279      3.67859246      5.24388457      6.79830459      8.35042361
     4.08017720     63.82120665      0.32536475      2.23217746      3.93684427      5.61428297      7.27942788      8.94024454
     4.04387265     63.69245621      0.34275409      2.38973524      4.21865192      6.01588135      7.80212430      9.58366976
     4.00812612     63.58931517      0.36150554      2.56270691      4.52505398      6.45835223      8.37651072     10.28884539
     3.97295281     63.46067661      0.38079951      2.74929753      4.86237404      6.93891880      9.00097491     11.05762004
     3.93826992     63.33203779      0.40457818      2.95823756      5.23043633      7.46393451      9.68453074     11.89730217
     3.90425550     63.20340001      0.42540782      3.18319415      5.62968219      8.03908253     10.43293264     12.81660725
