#      L (RS)      LAT (degrees)        m=0             m=1             m=2             m=3             m=4             m=5       
     6.18505594     68.61539633      0.05276104      0.29795970      0.51112831      0.72096693      0.92922348      1.13736462
     6.10020623     68.48720487      0.05441558      0.30960237      0.53180585      0.75047767      0.96803336      1.18490053
     6.01816957     68.30546556      0.05694380      0.32249218      0.55373802      0.78180544      1.00713316      1.23473548
     5.93828401     68.17721149      0.05951456      0.33553174      0.57783784      0.81571298      1.05293941      1.28887553
     5.86120559     68.04890977      0.06216762      0.36511260      0.60386166      0.85342421      1.10094060      1.34845406
     5.78619167     67.94218747      0.06512950      0.36667199      0.63247395      0.89430046      1.15446442      1.41369516
     5.71321092     67.81391743      0.06831343      0.38423565      0.66332983      0.93805289      1.21133380      1.48256189
     5.64224973     67.68560340      0.07169940      0.40271481      0.69548561      0.98399467      1.27070241      1.55681117
     5.57322510     67.55724663      0.07479319      0.42149371      0.72885275      1.03123652      1.33233391      1.63137402
     5.50614566     67.42884841      0.07827741      0.44056541      0.76179453      1.07900030      1.39359386      1.70793964
     5.44102693     67.32260919      0.08144726      0.45892369      0.79516183      1.12605735      1.45476006      1.78258754
     5.37705849     67.19425414      0.08482991      0.47844572      0.82948511      1.17499512      1.51848420      1.86068656
     5.31429544     67.06586129      0.08873668      0.50011462      0.86789203      1.22984635      1.58530429      1.94786164
     5.25405072     66.93743192      0.09267492      0.52421072      0.91066157      1.29054714      1.66783376      2.04427279
     5.19425076     66.80896730      0.09694205      0.55136890      0.95744501      1.35781408      1.75561911      2.15187287
     5.13625360     66.68046871      0.10167915      0.57916483      1.00762744      1.42807936      1.84664808      2.26418934
     5.08003228     66.55193742      0.10691588      0.60771576      1.05797901      1.50093902      1.94043548      2.37933823
     5.02425925     66.44638415      0.11137814      0.63817346      1.11131920      1.57670199      2.03931439      2.49996642
     4.97016137     66.31791228      0.11614121      0.66896718      1.16753128      1.65739045      2.14364360      2.62759231
     4.91717134     66.18941138      0.12196290      0.70523874      1.22951970      1.74528975      2.25802688      2.76881992
     4.86519013     66.06088275      0.12803243      0.74422549      1.29878243      1.84455274      2.38687564      2.92691365
     4.81422953     65.93232766      0.13465131      0.78764239      1.37531371      1.95346785      2.52852810      3.10098408
     4.76432923     65.80374741      0.14150902      0.81419724      1.45729537      2.07082182      2.68115177      3.28741153
     4.71540772     65.67514328      0.14939106      0.88343367      1.54467891      2.19539528      2.84122267      3.48510851
     4.66743891     65.54651657      0.15561572      0.93586959      1.63576339      2.32491796      3.01042636      3.69218116
     4.62048591     65.44179656      0.16507721      0.99063460      1.73392228      2.46447217      3.19049015      3.91552763
     4.57449079     65.31324777      0.17395156      1.04917981      1.83838447      2.61104621      3.38359556      4.15227960
     4.52942447     65.18468007      0.18218260      1.11239641      1.94980853      2.77283627      3.59048811      4.40744252
     4.48531326     65.05609474      0.19205462      1.18169718      2.07118249      2.94583601      3.81640831      4.68351003
     4.44204514     64.92749307      0.20187201      1.24836202      2.20024539      3.13230881      4.05795277      4.97961474
     4.39927301     64.85096063      0.21331727      1.33442759      2.34215075      3.33372663      4.31999851      5.30280723
